=== YEN 2 ROTAS ALEATÓRIAS - REQUISIÇÃO [3,8] ===

PARÂMETROS DA SIMULAÇÃO:
  Rede: NSFNet (14 nós, 21 enlaces)
  Wavelengths por enlace: 40
  Rotas consideradas: 2 (menores rotas do YEN)
  Seleção de rota: Aleatória entre as 2
  Alocação de wavelength: First Fit
  Requisição: [3,8]
  Rodadas por carga: 20
  Total de chamadas por carga: 1000
  Percentual desta requisição: ~16%
  Cargas testadas: 0 a 200

RESULTADOS (Blocking Probability):
Carga	Probabilidade de Bloqueio	Chamadas Totais	Chamadas Bloqueadas
0	0.000000	0	0
1	0.000000	3200	0
2	0.000000	3200	0
3	0.000000	3200	0
4	0.000000	3200	0
5	0.000000	3200	0
6	0.000000	3200	0
7	0.000000	3200	0
8	0.000000	3200	0
9	0.000000	3200	0
10	0.000000	3200	0
11	0.000000	3200	0
12	0.000000	3200	0
13	0.000000	3200	0
14	0.000000	3200	0
15	0.000000	3200	0
16	0.000000	3200	0
17	0.000000	3200	0
18	0.000000	3200	0
19	0.000000	3200	0
20	0.000000	3200	0
21	0.000000	3200	0
22	0.000000	3200	0
23	0.000000	3200	0
24	0.000000	3200	0
25	0.000000	3200	0
26	0.000000	3200	0
27	0.000000	3200	0
28	0.000000	3200	0
29	0.000000	3200	0
30	0.000000	3200	0
31	0.000000	3200	0
32	0.000000	3200	0
33	0.000000	3200	0
34	0.000000	3200	0
35	0.000000	3200	0
36	0.000000	3200	0
37	0.000000	3200	0
38	0.000000	3200	0
39	0.000000	3200	0
40	0.000000	3200	0
41	0.000000	3200	0
42	0.000000	3200	0
43	0.000000	3200	0
44	0.000000	3200	0
45	0.000000	3200	0
46	0.000000	3200	0
47	0.000000	3200	0
48	0.000000	3200	0
49	0.000000	3200	0
50	0.000000	3200	0
51	0.000000	3200	0
52	0.000000	3200	0
53	0.000000	3200	0
54	0.000000	3200	0
55	0.000000	3200	0
56	0.000000	3200	0
57	0.000000	3200	0
58	0.000000	3200	0
59	0.000000	3200	0
60	0.000000	3200	0
61	0.000000	3200	0
62	0.000000	3200	0
63	0.000000	3200	0
64	0.000000	3200	0
65	0.000000	3200	0
66	0.000000	3200	0
67	0.000000	3200	0
68	0.000000	3200	0
69	0.000000	3200	0
70	0.000000	3200	0
71	0.000000	3200	0
72	0.000000	3200	0
73	0.000000	3200	0
74	0.000000	3200	0
75	0.000000	3200	0
76	0.000000	3200	0
77	0.005650	3200	18
78	0.000000	3200	0
79	0.000000	3200	0
80	0.000000	3200	0
81	0.000000	3200	0
