=== YEN 2 ROTAS ALEATÓRIAS - REQUISIÇÃO [4,11] ===

PARÂMETROS DA SIMULAÇÃO:
  Rede: NSFNet (14 nós, 21 enlaces)
  Wavelengths por enlace: 40
  Rotas consideradas: 2 (menores rotas do YEN)
  Seleção de rota: Aleatória entre as 2
  Alocação de wavelength: First Fit
  Requisição: [4,11]
  Rodadas por carga: 20
  Total de chamadas por carga: 1000
  Percentual desta requisição: ~16%
  Cargas testadas: 0 a 200

RESULTADOS (Blocking Probability):
Carga	Probabilidade de Bloqueio	Chamadas Totais	Chamadas Bloqueadas
82	0.000000	3200	0
83	0.000000	3200	0
84	0.000000	3200	0
85	0.011976	3200	38
86	0.006536	3200	20
87	0.000000	3200	0
88	0.000000	3200	0
89	0.013333	3200	42
90	0.020408	3200	65
91	0.005587	3200	17
92	0.013158	3200	42
93	0.006849	3200	21
94	0.024242	3200	77
95	0.000000	3200	0
96	0.036364	3200	116
97	0.040462	3200	129
98	0.018868	3200	60
99	0.046512	3200	148
100	0.007143	3200	22
101	0.068750	3200	220
102	0.006993	3200	22
103	0.037975	3200	121
104	0.087719	3200	280
105	0.089172	3200	285
106	0.045977	3200	147
107	0.069182	3200	221
108	0.050000	3200	160
109	0.024540	3200	78
110	0.037975	3200	121
111	0.052326	3200	167
112	0.067797	3200	216
113	0.028409	3200	90
114	0.034965	3200	111
115	0.050000	3200	160
116	0.069182	3200	221
117	0.130682	3200	418
118	0.064516	3200	206
119	0.069767	3200	223
120	0.114458	3200	366
121	0.093567	3200	299
122	0.089172	3200	285
123	0.156863	3200	501
124	0.096970	3200	310
125	0.146853	3200	469
126	0.084416	3200	270
127	0.043210	3200	138
128	0.127389	3200	407
129	0.082353	3200	263
130	0.120253	3200	384
131	0.154412	3200	494
132	0.148387	3200	474
133	0.137255	3200	439
134	0.103448	3200	331
135	0.219895	3200	703
136	0.121795	3200	389
137	0.155280	3200	496
138	0.094203	3200	301
139	0.141975	3200	454
140	0.131148	3200	419
141	0.086331	3200	276
142	0.150327	3200	481
143	0.208861	3200	668
144	0.172222	3200	551
145	0.129870	3200	415
146	0.152318	3200	487
147	0.197802	3200	632
148	0.164474	3200	526
149	0.145570	3200	465
150	0.169811	3200	543
151	0.155844	3200	498
152	0.170886	3200	546
153	0.192053	3200	614
154	0.204082	3200	653
155	0.150327	3200	481
156	0.185897	3200	594
157	0.231707	3200	741
158	0.260274	3200	832
159	0.306748	3200	981
160	0.142857	3200	457
161	0.183544	3200	587
162	0.224490	3200	718
163	0.265537	3200	849
164	0.239726	3200	767
165	0.227848	3200	729
166	0.239521	3200	766
167	0.244048	3200	780
168	0.272727	3200	872
169	0.266667	3200	853
170	0.210526	3200	673
171	0.276596	3200	885
172	0.294118	3200	941
173	0.225610	3200	721
174	0.287671	3200	920
175	0.214724	3200	687
176	0.353293	3200	1130
177	0.293785	3200	940
178	0.322981	3200	1033
179	0.243056	3200	777
180	0.287500	3200	919
181	0.277457	3200	887
182	0.225806	3200	722
183	0.293333	3200	938
184	0.396450	3200	1268
185	0.352941	3200	1129
186	0.302158	3200	966
187	0.318182	3200	1018
188	0.319018	3200	1020
189	0.261745	3200	837
190	0.341176	3200	1091
191	0.281437	3200	900
192	0.302013	3200	966
193	0.326923	3200	1046
194	0.344156	3200	1101
195	0.301676	3200	965
196	0.382022	3200	1222
197	0.385542	3200	1233
198	0.312500	3200	1000
199	0.329545	3200	1054
200	0.316456	3200	1012

=== ESTATÍSTICAS (Cargas 1-200) ===
Média: 0.095241 (9.5241%)
Máximo: 0.396450 (39.6450%)
Mínimo: 0.000000 (0.0000%)
Desvio Padrão: 0.116795
Mediana: 0.031687
