=== YEN 2 ROTAS ALEATÓRIAS - REQUISIÇÃO [2,6] ===

PARÂMETROS DA SIMULAÇÃO:
  Rede: NSFNet (14 nós, 21 enlaces)
  Wavelengths por enlace: 40
  Rotas consideradas: 2 (menores rotas do YEN)
  Seleção de rota: Aleatória entre as 2
  Alocação de wavelength: First Fit
  Requisição: [2,6]
  Rodadas por carga: 20
  Total de chamadas por carga: 1000
  Percentual desta requisição: ~16%
  Cargas testadas: 0 a 200

RESULTADOS (Blocking Probability):
Carga	Probabilidade de Bloqueio	Chamadas Totais	Chamadas Bloqueadas
82	0.000000	3200	0
83	0.013699	3200	43
84	0.000000	3200	0
85	0.000000	3200	0
86	0.029240	3200	93
87	0.012579	3200	40
88	0.000000	3200	0
89	0.000000	3200	0
90	0.005848	3200	18
91	0.000000	3200	0
92	0.038462	3200	123
93	0.024242	3200	77
94	0.031847	3200	101
95	0.038674	3200	123
96	0.040230	3200	128
97	0.000000	3200	0
98	0.026667	3200	85
99	0.057692	3200	184
100	0.048485	3200	155
101	0.020690	3200	66
102	0.054878	3200	175
103	0.077381	3200	247
104	0.048780	3200	156
105	0.118421	3200	378
106	0.046980	3200	150
107	0.053571	3200	171
108	0.093168	3200	298
109	0.040000	3200	128
110	0.029412	3200	94
111	0.062893	3200	201
112	0.060241	3200	192
113	0.046358	3200	148
114	0.100592	3200	321
115	0.145570	3200	465
116	0.073333	3200	234
117	0.119718	3200	383
118	0.061728	3200	197
119	0.163636	3200	523
120	0.062937	3200	201
121	0.136364	3200	436
122	0.073620	3200	235
123	0.086667	3200	277
124	0.120567	3200	385
125	0.131250	3200	420
126	0.100000	3200	320
127	0.151316	3200	484
128	0.129252	3200	413
129	0.101124	3200	323
130	0.166667	3200	533
131	0.183432	3200	586
132	0.124138	3200	397
133	0.128205	3200	410
134	0.149701	3200	479
135	0.152318	3200	487
136	0.094595	3200	302
137	0.165563	3200	529
138	0.176471	3200	564
139	0.147059	3200	470
140	0.125000	3200	400
141	0.193939	3200	620
142	0.225434	3200	721
143	0.184713	3200	591
144	0.167742	3200	536
145	0.198718	3200	635
146	0.218579	3200	699
147	0.219355	3200	701
148	0.164634	3200	526
149	0.260606	3200	833
150	0.260870	3200	834
151	0.213235	3200	682
152	0.181818	3200	581
153	0.208589	3200	667
154	0.250000	3200	800
155	0.260563	3200	833
156	0.205128	3200	656
157	0.191860	3200	613
158	0.280000	3200	896
159	0.248322	3200	794
160	0.230769	3200	738
161	0.291667	3200	933
162	0.233918	3200	748
163	0.236111	3200	755
164	0.311765	3200	997
165	0.198718	3200	635
166	0.227848	3200	729
167	0.259259	3200	829
168	0.222222	3200	711
169	0.256250	3200	819
170	0.224359	3200	717
171	0.270115	3200	864
172	0.260606	3200	833
173	0.301775	3200	965
174	0.306250	3200	980
175	0.245283	3200	784
176	0.286550	3200	916
177	0.278481	3200	891
178	0.286517	3200	916
179	0.254335	3200	813
180	0.303797	3200	972
181	0.226667	3200	725
182	0.243750	3200	780
183	0.362573	3200	1160
184	0.261146	3200	835
185	0.346154	3200	1107
186	0.248366	3200	794
187	0.250000	3200	800
188	0.245161	3200	784
189	0.259494	3200	830
190	0.283019	3200	905
191	0.219355	3200	701
192	0.277778	3200	888
193	0.248366	3200	794
194	0.310345	3200	993
195	0.304054	3200	972
196	0.253247	3200	810
197	0.322581	3200	1032
198	0.344156	3200	1101
199	0.296970	3200	950
200	0.301282	3200	964

=== ESTATÍSTICAS (Cargas 1-200) ===
Média: 0.098582 (9.8582%)
Máximo: 0.362573 (36.2573%)
Mínimo: 0.000000 (0.0000%)
Desvio Padrão: 0.112976
Mediana: 0.040115
